0.000000,0.279240,-1.722045,0.076887,-2.044706,-3.139865,0.243767,-2.782262,-1.060336,-2.035167,-4.302137
0.000000,0.000000,-1.834609,-0.193036,-2.206750,-3.036436,-0.020883,-2.886743,-1.483782,-2.200633,-4.587015
0.000000,0.000000,0.000000,2.338253,-1.106951,-3.012534,2.198911,-2.026712,0.574980,-1.085809,-3.851929
0.000000,0.000000,0.000000,0.000000,-2.561496,-3.328449,0.280063,-2.884420,-1.308697,-2.549106,-4.281056
0.000000,0.000000,0.000000,0.000000,0.000000,-2.575048,2.616670,-1.897808,0.996185,0.748417,-3.859288
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.102253,0.073567,1.864163,2.578505,-3.440445
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.390706,-1.937621,-2.605591,-4.324856
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.739617,1.912799,-3.658140
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.990877,-4.384131
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.862658
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
